,Text,Questions,Answers
10,"The exact nature of relations between Tibet and the Ming dynasty of China (1368–1644) is unclear. Analysis of the relationship is further complicated by modern political conflicts and the application of Westphalian sovereignty to a time when the concept did not exist. Some Mainland Chinese scholars, such as Wang Jiawei and Nyima Gyaincain, assert that the Ming dynasty had unquestioned sovereignty over Tibet, pointing to the Ming court's issuing of various titles to Tibetan leaders, Tibetans' full acceptance of these titles, and a renewal process for successors of these titles that involved traveling to the Ming capital. Scholars within China also argue that Tibet has been an integral part of China since the 13th century and that it was thus a part of the Ming Empire. But most scholars outside China, such as Turrell V. Wylie, Melvin C. Goldstein, and Helmut Hoffman, say that the relationship was one of suzerainty, that Ming titles were only nominal, that Tibet remained an independent region outside Ming control, and that it simply paid tribute until the Jiajing Emperor (1521–1566), who ceased relations with Tibet.",['Who were Wang Jiawei and Nyima Gyaincain?'],"[[{'text': 'Mainland Chinese scholars', 'answer_start': 274}]]"
11,"The iPod is a line of portable media players and multi-purpose pocket computers designed and marketed by Apple Inc. The first line was released on October 23, 2001, about 8½ months after iTunes (Macintosh version) was released. The most recent iPod redesigns were announced on July 15, 2015. There are three current versions of the iPod: the ultra-compact iPod Shuffle, the compact iPod Nano and the touchscreen iPod Touch.","['Which company produces the iPod?', 'When was the original iPod released?', 'How many different types of iPod are currently available?', 'What kind of device is the iPod?', 'The iPod Touch uses what kind of interface?', 'In what year was the first iPod released?', 'What company manufactures the iPod?', 'How many versions of the iPod currently exist?', 'Which is the smallest version of the iPod?', 'In what year was the iPod most recently redesigned?']","[[{'text': 'Apple', 'answer_start': 105}], [{'text': 'October 23, 2001', 'answer_start': 147}], [{'text': 'three', 'answer_start': 302}], [{'text': 'portable media players', 'answer_start': 22}], [{'text': 'touchscreen', 'answer_start': 400}], [{'text': '2001', 'answer_start': 159}], [{'text': 'Apple', 'answer_start': 105}], [{'text': '3', 'answer_start': 156}], [{'text': 'Shuffle', 'answer_start': 361}], [{'text': '2015', 'answer_start': 286}]]"
12,"The Legend of Zelda: Twilight Princess (Japanese: ゼルダの伝説 トワイライトプリンセス, Hepburn: Zeruda no Densetsu: Towairaito Purinsesu?) is an action-adventure game developed and published by Nintendo for the GameCube and Wii home video game consoles. It is the thirteenth installment in the The Legend of Zelda series. Originally planned for release on the GameCube in November 2005, Twilight Princess was delayed by Nintendo to allow its developers to refine the game, add more content, and port it to the Wii. The Wii version was released alongside the console in North America in November 2006, and in Japan, Europe, and Australia the following month. The GameCube version was released worldwide in December 2006.[b]","['What category of game is Legend of Zelda: Twilight Princess?', 'What consoles can be used to play Twilight Princess?', 'When was Twilight Princess launched in North America?', 'When could GameCube owners purchase Twilight Princess?', 'What company developed Legend of Zelda: Twilight Princess?', 'What year was the Legend of Zelda:Twilight Princess originally planned for release?', 'What year was the Wii version of Legend of Zelda: Twilight Princess released?', 'What category of game is Legend of Zelda: Australia Twilight?', 'What consoles can be used to play Australia Twilight?', 'When was Australia Twilight launched in North America?', 'When could GameCube owners purchase Australian Princess?', 'What year was the Legend of Zelda: Australian Princess originally planned for release?']","[[{'text': 'action-adventure', 'answer_start': 128}], [{'text': 'GameCube and Wii', 'answer_start': 194}], [{'text': 'November 2006', 'answer_start': 569}], [{'text': 'December 2006', 'answer_start': 688}], [{'text': 'Nintendo', 'answer_start': 177}], [{'text': '2005', 'answer_start': 364}], [{'text': '2006', 'answer_start': 578}], [], [], [], [], []]"
13,"Spectre (2015) is the twenty-fourth James Bond film produced by Eon Productions. It features Daniel Craig in his fourth performance as James Bond, and Christoph Waltz as Ernst Stavro Blofeld, with the film marking the character's re-introduction into the series. It was directed by Sam Mendes as his second James Bond film following Skyfall, and was written by John Logan, Neal Purvis, Robert Wade and Jez Butterworth. It is distributed by Metro-Goldwyn-Mayer and Columbia Pictures. With a budget around $245 million, it is the most expensive Bond film and one of the most expensive films ever made.","['Which company made Spectre?', 'Who is the star of Spectre?', 'What role does Daniel Craig play in Spectre?', 'What 007 movie did Sam Mendes previously direct?', 'How much money did it take to make Spectre?', 'How many James Bond films has Eon Productions produced?', 'Which Bond film was the most expensive ever made?', 'How many films has Daniel Craig appeared in as James Bond?', 'Which two movie studios distributed the James Bond film Spectre?', 'Who directed Spectre?', 'What is the name of the thirty-fourth James Bond film?', 'In what year was the thirty-fourth James Bond film produced?', 'Daniel Craig stars as Ernst Stavro Blofeld in what 2015 film?', 'Sam Mendes wrote what 2015 film?', 'John Logan directed what 2015 film?']","[[{'text': 'Eon Productions', 'answer_start': 64}], [{'text': 'Daniel Craig', 'answer_start': 93}], [{'text': 'James Bond', 'answer_start': 36}], [{'text': 'Skyfall', 'answer_start': 333}], [{'text': '$245', 'answer_start': 504}], [{'text': 'twenty-four', 'answer_start': 22}], [{'text': 'Spectre', 'answer_start': 0}], [{'text': 'four', 'answer_start': 29}], [{'text': 'Metro-Goldwyn-Mayer and Columbia Pictures', 'answer_start': 440}], [{'text': 'Sam Mendes', 'answer_start': 282}], [], [], [], [], []]"
14,"The 2008 Sichuan earthquake or the Great Sichuan earthquake, measured at 8.0 Ms and 7.9 Mw, and occurred at 02:28:01 PM China Standard Time at epicenter (06:28:01 UTC) on May 12 in Sichuan province, killed 69,197 people and left 18,222 missing.","['In what year did the earthquake in Sichuan occur?', 'What was the earthquake named?', 'How many people were killed as a result?', 'What year did the Sichuan earthquake take place?', 'What did the quake measure?', 'What day did the earthquake occur?', 'What time of the day did the quake happen?', 'How many people died?']","[[{'text': '2008', 'answer_start': 4}], [{'text': 'the Great Sichuan earthquake', 'answer_start': 31}], [{'text': '69,197', 'answer_start': 206}], [{'text': '2008', 'answer_start': 4}], [{'text': '8.0 Ms and 7.9 Mw', 'answer_start': 73}], [{'text': 'May 12', 'answer_start': 171}], [{'text': '02:28:01 PM China Standard Time', 'answer_start': 108}], [{'text': '69,197', 'answer_start': 206}]]"
15,"New York—often called New York City or the City of New York to distinguish it from the State of New York, of which it is a part—is the most populous city in the United States and the center of the New York metropolitan area, the premier gateway for legal immigration to the United States and one of the most populous urban agglomerations in the world. A global power city, New York exerts a significant impact upon commerce, finance, media, art, fashion, research, technology, education, and entertainment, its fast pace defining the term New York minute. Home to the headquarters of the United Nations, New York is an important center for international diplomacy and has been described as the cultural and financial capital of the world.","['What city in the United States has the highest population?', 'In what city is the United Nations based?', 'What city has been called the cultural capital of the world?', 'What American city welcomes the largest number of legal immigrants?', 'The major gateway for immigration has been which US city?', 'The most populated city in the United States is which city?']","[[{'text': 'New York', 'answer_start': 0}], [{'text': 'New York', 'answer_start': 0}], [{'text': 'New York', 'answer_start': 0}], [{'text': 'New York', 'answer_start': 0}], [{'text': 'New York City', 'answer_start': 22}], [{'text': 'New York City', 'answer_start': 22}]]"
16,"To Kill a Mockingbird is a novel by Harper Lee published in 1960. It was immediately successful, winning the Pulitzer Prize, and has become a classic of modern American literature. The plot and characters are loosely based on the author's observations of her family and neighbors, as well as on an event that occurred near her hometown in 1936, when she was 10 years old.","['When did To Kill a Mockingbird first get circulated?', 'What prize did To Kill a Mockingbird win?', 'Who wrote To Kill a Mockingbird?', 'Who wrote the novel To Kill a Mockingbird?', 'What year was To Kill a Mockingbird first published?', 'Whom did Lee base the characters in To Kill a Mockingbird on?']","[[{'text': '1960', 'answer_start': 60}], [{'text': 'Pulitzer Prize', 'answer_start': 109}], [{'text': 'Harper Lee', 'answer_start': 36}], [{'text': 'Harper Lee', 'answer_start': 36}], [{'text': '1960', 'answer_start': 60}], [{'text': 'her family and neighbors', 'answer_start': 255}]]"
17,"Solar energy is radiant light and heat from the Sun harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture and artificial photosynthesis.","['Where does solar energy come from?', 'What kind of energy consists of the light and heat provided by the Sun?', 'What technologies are used to harness solar energy from the sun?', 'What is solar energy?']","[[{'text': 'the Sun', 'answer_start': 44}], [{'text': 'Solar energy', 'answer_start': 0}], [{'text': 'solar heating, photovoltaics, solar thermal energy, solar architecture and artificial photosynthesis', 'answer_start': 114}], [{'text': 'radiant light and heat from the Sun', 'answer_start': 16}]]"
18,"Kanye Omari West (/ˈkɑːnjeɪ/; born June 8, 1977) is an American hip hop recording artist, record producer, rapper, fashion designer, and entrepreneur. He is among the most acclaimed musicians of the 21st century, attracting both praise and controversy for his work and his outspoken public persona.","['What year was Kanye born?', 'What kind of music does Kanye West perform?', ""What is Kanye West's middle name?"", ""When is Kanye West's birthday?""]","[[{'text': '1977', 'answer_start': 43}], [{'text': 'hip hop', 'answer_start': 64}], [{'text': 'Omari', 'answer_start': 6}], [{'text': 'June 8, 1977', 'answer_start': 35}]]"
19,"Buddhism /ˈbudɪzəm/ is a nontheistic religion[note 1] or philosophy (Sanskrit: धर्म dharma; Pali: धम्म dhamma) that encompasses a variety of traditions, beliefs and spiritual practices largely based on teachings attributed to Gautama Buddha, commonly known as the Buddha (""the awakened one""). According to Buddhist tradition, the Buddha lived and taught in the eastern part of the Indian subcontinent, present-day Nepal sometime between the 6th and 4th centuries BCE.[note 1] He is recognized by Buddhists as an awakened or enlightened teacher who shared his insights to help sentient beings end their suffering through the elimination of ignorance and craving. Buddhists believe that this is accomplished through the direct understanding and perception of dependent origination and the Four Noble Truths.","['What type of religion is Buddhism?', 'What are the practices of Buddhism based on?', 'Where did the Buddha live?', 'How do Buddhists believe their suffering can be ended?', 'What did the Buddha teach should be given up to end suffering?', 'What type of religion is Buddhism?', ""Who's teaching is Buddhism based upon?"", 'When was Buddha alive?', 'Where did Buddha reside when he was alive?', ""Who's teachings is Buddhism based upon?"", 'Where was Buddha thought to live?', 'When approximately was Buddha alive?', 'Buddhism is based on the teaching of who?', 'How many noble truths are there?', 'Buddha was part of what subcontinent?', 'Who is ""the awakened one""']","[[{'text': 'nontheistic', 'answer_start': 25}], [{'text': 'teachings attributed to Gautama Buddha', 'answer_start': 202}], [{'text': 'present-day Nepal', 'answer_start': 402}], [{'text': 'through the direct understanding and perception of dependent origination and the Four Noble Truths', 'answer_start': 706}], [{'text': 'ignorance and craving', 'answer_start': 639}], [{'text': 'nontheistic religion', 'answer_start': 25}], [{'text': 'Gautama Buddha', 'answer_start': 226}], [{'text': 'between the 6th and 4th centuries BCE', 'answer_start': 429}], [{'text': 'present-day Nepal', 'answer_start': 402}], [{'text': 'Gautama Buddha', 'answer_start': 226}], [{'text': 'Nepal', 'answer_start': 414}], [{'text': 'sometime between the 6th and 4th centuries BCE', 'answer_start': 420}], [{'text': 'Gautama Buddha', 'answer_start': 226}], [{'text': '4', 'answer_start': 449}], [{'text': 'Indian', 'answer_start': 381}], [{'text': 'Buddha', 'answer_start': 234}]]"
20,"American Idol is an American singing competition series created by Simon Fuller and produced by 19 Entertainment, and is distributed by FremantleMedia North America. It began airing on Fox on June 11, 2002, as an addition to the Idols format based on the British series Pop Idol and has since become one of the most successful shows in the history of American television. The concept of the series is to find new solo recording artists, with the winner being determined by the viewers in America. Winners chosen by viewers through telephone, Internet, and SMS text voting were Kelly Clarkson, Ruben Studdard, Fantasia Barrino, Carrie Underwood, Taylor Hicks, Jordin Sparks, David Cook, Kris Allen, Lee DeWyze, Scotty McCreery, Phillip Phillips, Candice Glover, Caleb Johnson, and Nick Fradiani.","['Who is the creator of American Idol?', 'What company produces American idol?', 'What year did American Idol begin airing?', 'What British show is American Idols format based on?', 'What television network does American Idol air on?', 'What company produces American Idol?', 'What British series is American Idols format based on?', 'Who created American Idol?', 'Who produced American Idol?', 'When did American Idol first air on TV?', 'What British show was American Idol based on?']","[[{'text': 'Simon Fuller', 'answer_start': 67}], [{'text': '19 Entertainment', 'answer_start': 96}], [{'text': '2002', 'answer_start': 201}], [{'text': 'Pop Idol', 'answer_start': 270}], [{'text': 'Fox', 'answer_start': 185}], [{'text': '19 Entertainment', 'answer_start': 96}], [{'text': 'Pop Idol', 'answer_start': 270}], [{'text': 'Simon Fuller', 'answer_start': 67}], [{'text': '19 Entertainment', 'answer_start': 96}], [{'text': 'June 11, 2002', 'answer_start': 192}], [{'text': 'Pop Idol', 'answer_start': 270}]]"
21,"The domestic dog (Canis lupus familiaris or Canis familiaris) is a domesticated canid which has been selectively bred for millennia for various behaviors, sensory capabilities, and physical attributes.","['What is the three word Latin name for domesticated dogs?', 'What is Canis familiaris?', 'How long has the domestic dog been selectively bred?', 'Along with various behaviors and physical attributes, what were domestic dogs bred for?']","[[{'text': 'Canis lupus familiaris', 'answer_start': 18}], [{'text': 'domestic dog', 'answer_start': 4}], [{'text': 'millennia', 'answer_start': 122}], [{'text': 'sensory capabilities', 'answer_start': 155}]]"
22,"The 2008 Summer Olympics torch relay was run from March 24 until August 8, 2008, prior to the 2008 Summer Olympics, with the theme of ""one world, one dream"". Plans for the relay were announced on April 26, 2007, in Beijing, China. The relay, also called by the organizers as the ""Journey of Harmony"", lasted 129 days and carried the torch 137,000 km (85,000 mi) – the longest distance of any Olympic torch relay since the tradition was started ahead of the 1936 Summer Olympics.","['When did the tradition of people carrying the Olympic torch before the Olympic games begin?', 'How many days did people carry the Olympic torch before the 2008 Summer Olympics?', 'What was the theme for the torch relay?', 'What did the organizers of the torch relay call it?', 'What was the 2008 Olympic slogan?', 'Where were the details of the torch relay made known?', 'What was the torch relay referred to as by organizers?', 'How many miles was the Olympic torch relayed?']","[[{'text': '1936 Summer Olympics.', 'answer_start': 457}], [{'text': '129 days', 'answer_start': 308}], [{'text': 'one world, one dream', 'answer_start': 135}], [{'text': 'Journey of Harmony', 'answer_start': 280}], [{'text': 'one world, one dream', 'answer_start': 135}], [{'text': 'Beijing, China.', 'answer_start': 215}], [{'text': '""Journey of Harmony""', 'answer_start': 279}], [{'text': '85,000 mi', 'answer_start': 351}]]"
23,"In modern molecular biology and genetics, the genome is the genetic material of an organism. It consists of DNA (or RNA in RNA viruses). The genome includes both the genes and the non-coding sequences of the DNA/RNA.","['In what fields of science is the genome studied?', 'What is the content of the human genome?', 'What constitutes the viral genome?', 'How do scientists classify RNA as?', 'What does a molecule contain?', 'What is one thing that genes have?', 'What is included in virus RNA?', 'What fields study molecule formation?']","[[{'text': 'molecular biology and genetics', 'answer_start': 10}], [{'text': 'DNA', 'answer_start': 108}], [{'text': 'RNA', 'answer_start': 116}], [], [], [], [], []]"
